id,name_th,name_en,province_id,created_at,updated_at,deleted_at
1001,เขตพระนคร,Khet Phra Nakhon,1,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
1002,เขตดุสิต,Khet Dusit,1,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
1003,เขตหนองจอก,Khet Nong Chok,1,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
1004,เขตบางรัก,Khet Bang Rak,1,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
1005,เขตบางเขน,Khet Bang Khen,1,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
1006,เขตบางกะปิ,Khet Bang Kapi,1,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
1007,เขตปทุมวัน,Khet Pathum Wan,1,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
1008,เขตป้อมปราบศัตรูพ่าย,Khet Pom Prap Sattru Phai,1,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
1009,เขตพระโขนง,Khet Phra Khanong,1,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
1010,เขตมีนบุรี,Khet Min Buri,1,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
1011,เขตลาดกระบัง,Khet Lat Krabang,1,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
1012,เขตยานนาวา,Khet Yan Nawa,1,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
1013,เขตสัมพันธวงศ์,Khet Samphanthawong,1,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
1014,เขตพญาไท,Khet Phaya Thai,1,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
1015,เขตธนบุรี,Khet Thon Buri,1,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
1016,เขตบางกอกใหญ่,Khet Bangkok Yai,1,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
1017,เขตห้วยขวาง,Khet Huai Khwang,1,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
1018,เขตคลองสาน,Khet Khlong San,1,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
1019,เขตตลิ่งชัน,Khet Taling Chan,1,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
